Date,CD_ACAO,Close,Close,Close
,,ABEV3.SA,ASAI3.SA,AXIA3.SA
2025-11-10,ABEV3.SA,12.488617897033691,,
2025-11-11,ABEV3.SA,12.877110481262207,,
2025-11-12,ABEV3.SA,12.905536651611328,,
2025-11-13,ABEV3.SA,12.91501235961914,,
2025-11-14,ABEV3.SA,12.971864700317383,,
2025-11-17,ABEV3.SA,13.038192749023438,,
2025-11-18,ABEV3.SA,13.019241333007812,,
2025-11-19,ABEV3.SA,12.706552505493164,,
2025-11-21,ABEV3.SA,12.905536651611328,,
2025-11-24,ABEV3.SA,13.04766845703125,,
2025-11-25,ABEV3.SA,13.019241333007812,,
2025-11-26,ABEV3.SA,12.952914237976074,,
2025-11-27,ABEV3.SA,13.00029182434082,,
2025-11-28,ABEV3.SA,13.132946968078613,,
2025-12-01,ABEV3.SA,13.275078773498535,,
2025-12-02,ABEV3.SA,13.265603065490723,,
2025-12-03,ABEV3.SA,13.407733917236328,,
2025-12-04,ABEV3.SA,13.218225479125977,,
2025-12-05,ABEV3.SA,12.896060943603516,,
2025-12-08,ABEV3.SA,12.905536651611328,,
2025-12-09,ABEV3.SA,12.924488067626953,,
2025-12-10,ABEV3.SA,12.88658618927002,,
2025-12-11,ABEV3.SA,13.057143211364746,,
2025-12-12,ABEV3.SA,13.303504943847656,,
2025-12-15,ABEV3.SA,13.530915260314941,,
2025-12-16,ABEV3.SA,13.41720962524414,,
2025-12-17,ABEV3.SA,13.284554481506348,,
2025-12-18,ABEV3.SA,13.189800262451172,,
2025-12-19,ABEV3.SA,13.279999732971191,,
2025-12-22,ABEV3.SA,13.119999885559082,,
2025-12-23,ABEV3.SA,13.470000267028809,,
2025-12-26,ABEV3.SA,13.720000267028809,,
2025-12-29,ABEV3.SA,13.869999885559082,,
2025-12-30,ABEV3.SA,13.859999656677246,,
2026-01-02,ABEV3.SA,13.649999618530273,,
2026-01-05,ABEV3.SA,13.710000038146973,,
2026-01-06,ABEV3.SA,13.699999809265137,,
2026-01-07,ABEV3.SA,13.699999809265137,,
2026-01-08,ABEV3.SA,13.640000343322754,,
2026-01-09,ABEV3.SA,13.899999618530273,,
2026-01-12,ABEV3.SA,13.899999618530273,,
2026-01-13,ABEV3.SA,13.90999984741211,,
2026-01-14,ABEV3.SA,14.199999809265137,,
2026-01-15,ABEV3.SA,14.039999961853027,,
2026-01-16,ABEV3.SA,14.100000381469727,,
2026-01-19,ABEV3.SA,14.09000015258789,,
2026-01-20,ABEV3.SA,14.069999694824219,,
2026-01-21,ABEV3.SA,14.3100004196167,,
2026-01-22,ABEV3.SA,14.59000015258789,,
2026-01-23,ABEV3.SA,14.899999618530273,,
2026-01-26,ABEV3.SA,15.050000190734863,,
2026-01-27,ABEV3.SA,14.869999885559082,,
2026-01-28,ABEV3.SA,14.949999809265137,,
2026-01-29,ABEV3.SA,14.760000228881836,,
2026-01-30,ABEV3.SA,14.850000381469727,,
2026-02-02,ABEV3.SA,15.0600004196167,,
2026-02-03,ABEV3.SA,15.380000114440918,,
2026-02-04,ABEV3.SA,15.300000190734863,,
2026-02-05,ABEV3.SA,15.479999542236328,,
2026-02-06,ABEV3.SA,15.420000076293945,,
2026-02-09,ABEV3.SA,15.390000343322754,,
2025-01-02,ASAI3.SA,,5.281979084014893,
2025-01-03,ASAI3.SA,,5.252903938293457,
2025-01-06,ASAI3.SA,,5.514580249786377,
2025-01-07,ASAI3.SA,,5.714285850524902,
2025-01-08,ASAI3.SA,,5.556649684906006,
2025-01-09,ASAI3.SA,,5.576354026794434,
2025-01-10,ASAI3.SA,,5.536945343017578,
2025-01-13,ASAI3.SA,,5.438423156738281,
2025-01-14,ASAI3.SA,,5.320197105407715,
2025-01-15,ASAI3.SA,,5.655171871185303,
